,Date,Unix,Ticker,Debt Equity Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Difference Stocl,Difference stock
148,2007-04-09 12:40:37,1176147637.0,adm,0.541,37.02,155.66298342541438,1444.609985,36.47321714290261,119.18976628251177,155.66298342541438,119.18976628251177
149,2007-06-18 03:24:32,1182162272.0,adm,0.597,34.57,138.74309392265195,1531.050049,44.63926455127518,94.10382937137678,138.74309392265195,94.10382937137678
150,2007-06-19 05:10:54,1182255054.0,adm,0.597,34.75,139.98618784530385,1533.699951,44.88960246587393,95.09658537942991,139.98618784530385,95.09658537942991
151,2007-10-12 05:57:34,1192193854.0,adm,0.47,34.9,141.0220994475138,1561.800049,47.54423646114624,93.47786298636755,141.0220994475138,93.47786298636755
152,2008-01-23 23:14:44,1201158884.0,adm,0.62,40.85,182.11325966850828,1338.599976,26.458384677530955,155.65487499097733,182.11325966850828,155.65487499097733
153,2009-01-09 16:47:55,1231548475.0,adm,0.628,27.94,92.95580110497238,890.349976,-15.88807576473582,108.8438768697082,92.95580110497238,108.8438768697082
154,2011-07-29 19:09:22,1311991762.0,adm,85.48,30.64,111.60220994475138,1292.280029,22.082510046580833,89.51969989817054,111.60220994475138,89.51969989817054
155,2011-08-05 04:13:27,1312542807.0,adm,85.48,28.05,93.71546961325967,1199.380005,13.30618613938254,80.40928347387714,93.71546961325967,80.40928347387714
156,2011-09-28 04:29:00,1317209340.0,adm,54.78,25.77,77.9696132596685,1151.060059,8.7413703404724,69.2282429191961,77.9696132596685,69.2282429191961
157,2013-06-07 17:17:34,1370650654.0,adm,46.71,33.02,128.0386740331492,1643.380005,55.251146398984204,72.78752763416499,128.0386740331492,72.78752763416499
158,2004-05-12 18:03:39,1084410219.0,adp,0.015,45.7,0.0,1097.280029,0.0,0.0,0.0,0.0
159,2006-06-27 09:26:37,1151425597.0,adp,0.012,44.48,-2.6695842450765994,1239.199951,12.933792491360474,-15.603376736437074,-2.6695842450765994,-15.603376736437074
160,2007-02-20 18:32:39,1172025159.0,adp,0.012,50.7,10.940919037199125,1459.680054,33.027123015286364,-22.08620397808724,10.940919037199125,-22.08620397808724
161,2007-10-22 09:12:40,1193069560.0,adp,0.008,47.52,3.982494529540482,1506.329956,37.27853566903841,-33.29604113949793,3.982494529540482,-33.29604113949793
162,2008-01-23 19:35:35,1201145735.0,adp,0.078,38.56,-15.62363238512035,1338.599976,21.992558018204843,-37.61619040332519,-15.62363238512035,-37.61619040332519
